sub_category,sales,profit,orders,quantity,profit_margin
Copiers,149528.03,55617.8249,68,234,0.3719558460042575
Phones,330007.054,44515.7306,814,3289,0.1348932698874976
Accessories,167380.318,41936.6357,718,2976,0.2505469950176579
Paper,78479.206,34053.5693,1191,5178,0.43391837195702515
Binders,203412.733,30221.7633,1316,5974,0.1485736062550224
Chairs,328449.103,26590.1663,576,2356,0.08095673289142763
Storage,223843.608,21278.8264,777,3158,0.09506113035847778
Appliances,107532.16100000001,18138.005400000002,451,1729,0.16867516872463859
Furnishings,91705.164,13059.1436,877,3563,0.14240357936658832
Envelopes,16476.402,6964.1767,249,906,0.42267581842200747
Art,27118.792,6527.787,731,3000,0.24071083254740847
Labels,12486.312,5546.254,346,1400,0.4441867222283089
Machines,189238.631,3384.7569,112,440,0.01788618360909618
Fasteners,3024.28,949.5182,215,914,0.3139650429193064
Supplies,46673.538,-1189.0995,187,647,-0.025476952272184723
Bookcases,114879.9963,-3472.556,224,868,-0.030227682032054524
Tables,206965.532,-17725.4811,307,1241,-0.08564460433923848
